Index	Value
1	Above and Beyond
2	Acceptance
3	Accessibility
4	Accomplishment
5	Accountability
6	Accuracy
7	Accurate
8	Achievement
9	Activity
10	Adaptability
11	Adventure
12	Adventurous
13	Affection
14	Affective
15	Aggressive
16	Aggressiveness
17	Agility
18	Alert
19	Alertness
20	Altruism
21	Ambition
22	Amusement
23	Anti-Bureaucratic
24	Anticipate
25	Anticipation
26	Anti-Corporate
27	Appreciation
28	Approachability
29	Approachable
30	Assertive
31	Assertiveness
32	Attention to Detail
33	Attentive
34	Attentiveness
35	Availability
36	Available
37	Awareness
38	Balance
39	Beauty
40	Being the Best
41	Belonging
42	Best
43	Best People
44	Bold
45	Boldness
46	Bravery
47	Brilliance
48	Brilliant
49	Calm
50	Calmness
51	Candor
52	Capability
53	Capable
54	Careful
55	Carefulness
56	Caring
57	Certainty
58	Challenge
59	Change
60	Character
61	Charity
62	Cheerful
63	Citizenship
64	Clean
65	Cleanliness
66	Clear
67	Clear-Minded
68	Clever
69	Clients
70	Collaboration
71	Comfort
72	Commitment
73	Common Sense
74	Communication
75	Community
76	Compassion
77	Competence
78	Competency
79	Competition
80	Competitive
81	Completion
82	Composure
83	Comprehensive
84	Concentration
85	Concern for Others
86	Confidence
87	Confidential
88	Confidentiality
89	Conformity
90	Connection
91	Consciousness
92	Consistency
93	Content
94	Contentment
95	Continuity
96	Continuous Improvement
97	Contribution
98	Control
99	Conviction
100	Cooperation
101	Coordination
102	Cordiality
103	Correct
104	Courage
105	Courtesy
106	Craftiness
107	Craftsmanship
108	Creation
109	Creative
110	Creativity
111	Credibility
112	Cunning
113	Curiosity
114	Customer Focus
115	Customer Satisfaction
116	Customer Service
117	Customers
118	Daring
119	Decency
120	Decisive
121	Decisiveness
122	Dedication
123	Delight
124	Democratic
125	Dependability
126	Depth
127	Determination
128	Determined
129	Development
130	Devotion
131	Devout
132	Different
133	Differentiation
134	Dignity
135	Diligence
136	Direct
137	Directness
138	Discipline
139	Discovery
140	Discretion
141	Diversity
142	Dominance
143	Down-to-Earth
144	Dreaming
145	Drive
146	Duty
147	Eagerness
148	Ease of Use
149	Economy
150	Education
151	Effective
152	Effectiveness
153	Efficiency
154	Efficient
155	Elegance
156	Empathy
157	Employees
158	Empower
159	Empowering
160	Encouragement
161	Endurance
162	Energy
163	Engagement
164	Enjoyment
165	Entertainment
166	Enthusiasm
167	Entrepreneurship
168	Environment
169	Equality
170	Equitable
171	Ethical
172	Exceed Expectations
173	Excellence
174	Excitement
175	Exciting
176	Exhilarating
177	Experience
178	Expertise
179	Exploration
180	Explore
181	Expressive
182	Extrovert
183	Exuberance
184	Fairness
185	Faith
186	Faithfulness
187	Family
188	Family Atmosphere
189	Famous
190	Fashion
191	Fast
192	Fearless
193	Ferocious
194	Fidelity
195	Fierce
196	Firm
197	Fitness
198	Flair
199	Flexibility
200	Flexible
201	Fluency
202	Focus
203	Focus on Future
204	Foresight
205	Formal
206	Fortitude
207	Freedom
208	Fresh
209	Fresh Ideas
210	Friendly
211	Friendship
212	Frugality
213	Fun
214	Generosity
215	Genius
216	Giving
217	Global
218	Goodness
219	Goodwill
220	Gratitude
221	Great
222	Greatness
223	Growth
224	Guidance
225	Happiness
226	Hard Work
227	Harmony
228	Health
229	Heart
230	Helpful
231	Heroism
232	History
233	Holiness
234	Honesty
235	Honor
236	Hope
237	Hopeful
238	Hospitality
239	Humble
240	Humility
241	Humor
242	Hygiene
243	Imagination
244	Impact
245	Impartial
246	Impious
247	Improvement
248	Independence
249	Individuality
250	Industry
251	Informal
252	Innovation
253	Innovative
254	Inquisitive
255	Insight
256	Insightful
257	Inspiration
258	Integrity
259	Intelligence
260	Intensity
261	International
262	Intuition
263	Intuitive
264	Invention
265	Investing
266	Investment
267	Inviting
268	Irreverence
269	Irreverent
270	Joy
271	Justice
272	Kindness
273	Knowledge
274	Leadership
275	Learning
276	Legal
277	Level-Headed
278	Liberty
279	Listening
280	Lively
281	Local
282	Logic
283	Longevity
284	Love
285	Loyalty
286	Mastery
287	Maturity
288	Maximizing
289	Maximum Utilization
290	Meaning
291	Meekness
292	Mellow
293	Members
294	Merit
295	Meritocracy
296	Meticulous
297	Mindful
298	Moderation
299	Modesty
300	Motivation
301	Mystery
302	Neatness
303	Nerve
304	No Bureaucracy
305	Obedience
306	Open
307	Open-Minded
308	Openness
309	Optimism
310	Order
311	Organization
312	Original
313	Originality
314	Outrageous
315	Partnership
316	Passion
317	Patience
318	Patient-Centered
319	Patient-Focused
320	Patients
321	Patient-Satisfaction
322	Patriotism
323	Peace
324	People
325	Perception
